"transferclassid","classcreditenrollmentid","transferenrollmentid","transferreason","transferamountvalue","transferdaterequest","transfercreditexpire","transferstatus"
"1","2","1","I can no longer make this date/time.","16.00","2023-08-23 16:07:35","2023-11-23 16:07:35","Used"
"2","43","8","I can no longer make this date/time.","16.00","2023-08-27 19:35:11","2023-11-27 19:35:11","Used"
"3","256","63","Class Canceled","16.00","2023-09-03 01:35:26","2023-12-03 01:35:27","Used"
"4",NULL,"14","I can no longer make this date/time.","16.00","2023-09-06 21:36:35","2023-12-06 21:36:35","not used"
"5","100","75","Admin Transfer","16.00","2023-09-09 22:28:16","2023-12-09 22:28:16","Used"
"6",NULL,"94","I can no longer make this date/time.","16.00","2023-09-13 21:13:09","2023-12-13 21:13:09","not used"
"7","139","117","I can no longer make this date/time.I am no longer interested in this class.","16.00","2023-09-17 09:49:11","2023-12-17 09:49:11","Used"
"8",NULL,"153","Class Canceled","16.00","2023-09-20 16:35:11","2023-12-20 16:35:12","not used"
"9",NULL,"154","Class Canceled","16.00","2023-09-20 16:35:11","2023-12-20 16:35:12","refunded"
"10",NULL,"131","I can no longer make this date/time.","16.00","2023-09-27 14:40:18","2023-12-27 14:40:18","not used"
"11",NULL,"196","Class Canceled","16.00","2023-10-04 13:51:16","2024-01-04 13:51:17","not used"
"12",NULL,"206","Class Canceled","16.00","2023-10-04 13:51:16","2024-01-04 13:51:18","refunded"
"13",NULL,"236","I can no longer make this date/time.","16.00","2023-10-05 22:16:18","2024-01-05 22:16:18","not used"
"14","323","260","I can no longer make this date/time.","16.00","2023-10-18 00:08:29","2024-01-18 00:08:29","Used"
"15","407","310","I have different reasons.","16.00","2023-10-19 20:45:15","2024-01-19 20:45:15","Used"
"16",NULL,"410","I can no longer make this date/time.","10.00","2023-10-30 21:27:27","2024-01-30 21:27:27","not used"
"17","687","409","I can no longer make this date/time.","10.00","2023-11-07 18:32:44","2024-02-07 18:32:44","Used"
"18","1032","484","I can no longer make this date/time.","16.00","2023-11-10 16:38:32","2024-02-10 16:38:32","Used"
"19","719","531","I am no longer interested in this class.","16.00","2023-11-14 17:08:05","2024-02-14 17:08:05","Used"
"20","613","473","I can no longer make this date/time.","16.00","2023-11-16 09:13:43","2024-02-16 09:13:43","Used"
"21",NULL,"551","Class Canceled","16.00","2023-11-17 16:16:28","2024-02-17 16:16:29","not used"
"22","828","666","I can no longer make this date/time.","16.00","2023-11-19 01:49:57","2024-02-19 01:49:57","Used"
"23","1275","664","I am no longer interested in this class.","16.00","2023-11-19 01:52:26","2024-02-19 01:52:26","Used"
"24",NULL,"585","Request Refund","10.00","2023-11-22 16:16:28","2024-02-17 16:16:29","refunded"
"25",NULL,"573","I can no longer make this date/time.","16.00","2023-11-23 22:12:11","2024-02-23 22:12:11","not used"
"26","797","642","Class Canceled","16.00","2023-11-24 18:59:47","2024-02-24 18:59:48","Used"
"27","1276","664","Class Canceled","16.00","2023-11-24 18:59:47","2024-02-24 18:59:49","Used"
"28","768","680","Class Canceled","16.00","2023-11-24 18:59:47","2024-02-24 18:59:49","Used"
"29",NULL,"605","Class Canceled","16.00","2023-11-25 09:35:28","2024-02-25 09:35:29","not used"
"30",NULL,"666","Class Canceled","16.00","2023-11-25 09:35:28","2024-02-25 09:35:30","not used"
"31","1039","755","I can no longer make this date/time.","12.00","2023-11-26 01:07:59","2024-02-26 01:07:59","Used"
"32","798","644","Admin Transfer","16.00","2023-11-27 12:46:38","2024-02-27 12:46:38","Used"
"33",NULL,"724","Class Canceled","16.00","2023-11-29 20:09:40","2024-02-29 20:09:41","not used"
"34",NULL,"802","Admin Transfer","10.00","2023-12-03 22:16:18","2024-03-03 22:16:18","not used"
"35",NULL,"695","I can no longer make this date/time.","10.00","2023-12-05 13:11:19","2024-03-05 13:11:19","not used"
"36","1495","688","I can no longer make this date/time.","16.00","2023-12-06 11:25:26","2024-03-06 11:25:26","Used"
"37",NULL,"749","Class Canceled","16.00","2023-12-09 17:04:43","2024-03-09 17:04:44","not used"
"38",NULL,"874",,"16.00","2023-12-09 20:20:38","2024-03-09 20:20:38","not used"
"39",NULL,"870","I can no longer make this date/time.","10.00","2023-12-13 09:27:43","2024-03-13 09:27:43","not used"
"40","959","890","Class Canceled","16.00","2023-12-15 16:36:26","2024-03-15 16:36:27","Used"
"41",NULL,"810","Class Canceled","16.00","2023-12-15 16:38:22","2024-03-15 16:38:22","not used"
"42",NULL,"994","I have different reasons.","16.00","2024-01-01 16:44:21","2024-04-01 16:44:21","not used"
"43","1005","1003","I have different reasons.","12.00","2024-01-02 09:52:13","2024-04-02 09:52:13","Used"
"44",NULL,"1034","Class Canceled","10.00","2024-01-03 05:13:46","2024-04-03 05:13:47","not used"
"45",NULL,"970","Injuries/Health issues.","16.00","2024-01-03 14:10:37","2024-04-03 14:10:37","not used"
"46",NULL,"1018","I have different reasons.","12.00","2024-01-03 16:30:59","2024-04-03 16:30:59","not used"
"47",NULL,"1017","I can no longer make this date/time.I have different reasons.","12.00","2024-01-03 16:31:19","2024-04-03 16:31:19","not used"
"50",NULL,"1008","I have different reasons.","16.00","2024-01-03 16:33:07","2024-04-03 16:33:07","not used"
"51",NULL,"1009","Admin Transfer","12.00","2024-01-03 19:13:33","2024-04-03 19:13:33","not used"
"52",NULL,"935","Injuries/Health issues.","16.00","2024-01-03 19:22:55","2024-04-03 19:22:55","not used"
"53","1179","1021","Admin Transfer","16.00","2024-01-03 22:36:54","2024-04-03 22:36:54","Used"
"54",NULL,"1016","Admin Transfer","12.00","2024-01-04 00:10:48","2024-04-04 00:10:48","not used"
"56",NULL,"1043","I can no longer make this date/time.","16.00","2024-01-04 21:55:57","2024-04-04 21:55:57","not used"
"57",NULL,"946","I can no longer make this date/time.","16.00","2024-01-04 22:48:51","2024-04-04 22:48:51","not used"
"58",NULL,"1059","Admin Transfer","16.00","2024-01-05 12:11:57","2024-04-05 12:11:57","not used"
"59","1231","1005","Admin Transfer","12.00","2024-01-05 12:11:57","2024-04-05 12:11:57","Used"
"60","1075","968","I am no longer interested in this class.","16.00","2024-01-06 00:24:15","2024-04-06 00:24:15","Used"
"61",NULL,"976","I can no longer make this date/time.","12.00","2024-01-06 09:52:27","2024-04-06 09:52:27","not used"
"62","1101","969","I can no longer make this date/time.","16.00","2024-01-07 16:52:37","2024-04-07 16:52:37","Used"
"64","1112","956","I can no longer make this date/time.","16.00","2024-01-08 11:57:25","2024-04-08 11:57:25","Used"
"65",NULL,"1042","I can no longer make this date/time.","16.00","2024-01-09 20:05:58","2024-04-09 20:05:58","not used"
"66","1152","1092","Injuries/Health issues.","16.00","2024-01-10 01:26:16","2024-04-10 01:26:17","Used"
"67","1274","961","I can no longer make this date/time.","16.00","2024-01-11 01:47:42","2024-04-11 01:47:42","Used"
"68","1359","967","I can no longer make this date/time.","16.00","2024-01-13 12:09:52","2024-04-13 12:09:52","Used"
"69","1305","920","Admin Transfer","10.00","2024-01-21 00:00:00","2024-04-21 00:00:00","Used"
"70","1306","921","Admin Transfer","10.00","2024-01-21 00:00:00","2024-04-21 00:00:00","Used"
"71","1307","963","Admin Transfer","12.00","2024-01-21 00:00:00","2024-04-21 00:00:00","Used"
"72",NULL,"1211","I can no longer make this date/time.","16.00","2024-01-22 18:07:54","2024-04-22 18:07:54","not used"
"74","1344","1301","I can no longer make this date/time.","16.00","2024-01-24 12:31:59","2024-04-24 12:31:59","Used"
"75",NULL,"1313","I have different reasons.","12.00","2024-01-26 17:03:40","2024-04-26 17:03:40","not used"
"76","1441","1440","I have different reasons.","12.00","2024-01-31 16:18:22","2024-05-01 16:18:22","Used"
"78",NULL,"1425","Admin Transfer","16.00","2024-02-04 11:54:31","2024-05-04 11:54:31","not used"
"79","1570","1567","I have different reasons.","16.00","2024-02-06 12:10:39","2024-05-06 12:10:39","Used"
"80",NULL,"1401","I can no longer make this date/time.","16.00","2024-02-07 22:37:24","2024-05-07 22:37:24","not used"
"81","1638","1627","I can no longer make this date/time.","12.00","2024-02-10 18:14:28","2024-05-10 18:14:28","Used"
"82",NULL,"1528","I can no longer make this date/time.","16.00","2024-02-11 23:01:55","2024-05-11 23:01:55","not used"
"83",NULL,"1647","I can no longer make this date/time.","12.00","2024-02-12 11:57:59","2024-05-12 11:57:59","not used"
"84",NULL,"1648","I can no longer make this date/time.","12.00","2024-02-12 11:58:19","2024-05-12 11:58:19","not used"
"85",NULL,"1665",,"12.00","2024-02-15 00:03:48","2024-05-15 00:03:48","not used"
"86","1749","1644","I can no longer make this date/time.","12.00","2024-02-18 19:39:04","2024-05-18 19:39:04","Used"
