model,group,metric,train,test,gap(tr-te),model_name
ALS Hybrid,OVERALL,precision@5,0.0389,0.0113,+0.0276,ALS Hybrid
ALS Hybrid,OVERALL,recall@5,0.0322,0.0519,-0.0197,ALS Hybrid
ALS Hybrid,OVERALL,ndcg@5,0.0348,0.0295,+0.0053,ALS Hybrid
ALS Hybrid,OVERALL,mrr,0.0542,0.0226,+0.0316,ALS Hybrid
ALS Hybrid,OVERALL,coverage_pct,49.12,54.87,-5.7500,ALS Hybrid
ALS Hybrid,OVERALL,coverage_count,111.0,124.0,-13.0000,ALS Hybrid
ALS Hybrid,OVERALL,novelty,1.6699,1.5263,+0.1436,ALS Hybrid
ALS Hybrid,OVERALL,users_evaluated,72.0,106.0,-34.0000,ALS Hybrid
ALS Hybrid,REGISTERED,precision@5,0.0407,0.0055,+0.0352,ALS Hybrid
ALS Hybrid,REGISTERED,recall@5,0.0335,0.0205,+0.0130,ALS Hybrid
ALS Hybrid,REGISTERED,ndcg@5,0.0347,0.0085,+0.0262,ALS Hybrid
ALS Hybrid,REGISTERED,mrr,0.0492,0.0055,+0.0437,ALS Hybrid
ALS Hybrid,REGISTERED,coverage_pct,48.67,54.42,-5.7500,ALS Hybrid
ALS Hybrid,REGISTERED,coverage_count,110.0,123.0,-13.0000,ALS Hybrid
ALS Hybrid,REGISTERED,novelty,1.9969,2.1324,-0.1355,ALS Hybrid
ALS Hybrid,REGISTERED,users_evaluated,59.0,73.0,-14.0000,ALS Hybrid
ALS Hybrid,GUEST,precision@5,0.0308,0.0242,+0.0066,ALS Hybrid
ALS Hybrid,GUEST,recall@5,0.0262,0.1212,-0.0950,ALS Hybrid
ALS Hybrid,GUEST,ndcg@5,0.0354,0.0758,-0.0404,ALS Hybrid
ALS Hybrid,GUEST,mrr,0.0769,0.0606,+0.0163,ALS Hybrid
ALS Hybrid,GUEST,coverage_pct,2.21,2.21,+0.0000,ALS Hybrid
ALS Hybrid,GUEST,coverage_count,5.0,5.0,+0.0000,ALS Hybrid
ALS Hybrid,GUEST,novelty,0.1855,0.1855,+0.0000,ALS Hybrid
ALS Hybrid,GUEST,users_evaluated,13.0,33.0,-20.0000,ALS Hybrid
XGBoost Hybrid,OVERALL,precision@5,0.0861,0.0245,+0.0616,XGBoost Hybrid
XGBoost Hybrid,OVERALL,recall@5,0.0746,0.1108,-0.0362,XGBoost Hybrid
XGBoost Hybrid,OVERALL,ndcg@5,0.1096,0.0646,+0.0450,XGBoost Hybrid
XGBoost Hybrid,OVERALL,mrr,0.2238,0.0525,+0.1713,XGBoost Hybrid
XGBoost Hybrid,OVERALL,coverage_pct,34.07,64.16,-30.0900,XGBoost Hybrid
XGBoost Hybrid,OVERALL,coverage_count,77.0,145.0,-68.0000,XGBoost Hybrid
XGBoost Hybrid,OVERALL,novelty,1.033,2.5379,-1.5049,XGBoost Hybrid
XGBoost Hybrid,OVERALL,users_evaluated,72.0,106.0,-34.0000,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,precision@5,0.0983,0.0329,+0.0654,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,recall@5,0.0853,0.1473,-0.0620,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,ndcg@5,0.126,0.0878,+0.0382,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,mrr,0.2562,0.0728,+0.1834,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,coverage_pct,34.07,54.42,-20.3500,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,coverage_count,77.0,123.0,-46.0000,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,novelty,1.2197,2.4219,-1.2022,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,users_evaluated,59.0,73.0,-14.0000,XGBoost Hybrid
XGBoost Hybrid,GUEST,precision@5,0.0308,0.0061,+0.0247,XGBoost Hybrid
XGBoost Hybrid,GUEST,recall@5,0.0262,0.0303,-0.0041,XGBoost Hybrid
XGBoost Hybrid,GUEST,ndcg@5,0.0354,0.0131,+0.0223,XGBoost Hybrid
XGBoost Hybrid,GUEST,mrr,0.0769,0.0076,+0.0693,XGBoost Hybrid
XGBoost Hybrid,GUEST,coverage_pct,2.21,35.4,-33.1900,XGBoost Hybrid
XGBoost Hybrid,GUEST,coverage_count,5.0,80.0,-75.0000,XGBoost Hybrid
XGBoost Hybrid,GUEST,novelty,0.1855,2.7943,-2.6088,XGBoost Hybrid
XGBoost Hybrid,GUEST,users_evaluated,13.0,33.0,-20.0000,XGBoost Hybrid
